Current Attendence Sheet Data of FDN12513  |  All Type


-,2019-07-29-13:00:00-Lect-1H-ng,2019-07-31-13:00:00-Lect-2H-ng,2019-08-05-13:00:00-Lect-1H-ng,2019-08-07-13:00:00-Lect-2H-ng,2019-08-19-13:00:00-Lect-1H-ng,2019-08-21-13:00:00-Lect-2H-ng,2019-12-09-12:00:00-Lect-1H-ng,2019-12-16-12:00:00-Lect-1H-ng,2019-12-18-13:00:00-Lect-2H-ng,2019-12-23-13:00:00-Lect-1H-ng,2020-01-01-13:00:00-Lect-2H-ng,2020-01-06-13:00:00-Lect-1H-ng,2020-01-08-13:00:00-Lect-2H-ng,2020-01-13-13:00:00-Lect-1H-ng,2020-01-20-13:00:00-Lect-1H-ng,2020-01-22-13:00:00-Lect-2H-ng,2020-01-27-13:00:00-Lect-1H-ng,2020-01-29-13:00:00-Lect-2H-ng,2020-02-03-13:00:00-Lect-1H-ng,2020-02-05-13:00:00-Lect-2H-ng,2020-02-10-13:00:00-Lect-1H-ng,2020-02-12-13:00:00-Lect-2H-ng,2020-02-17-13:00:00-Lect-1H-ng,2020-02-19-13:00:00-Lect-2H-ng,%
HS/2018/16680,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,74 %,
HS/2018/16681,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,89 %,
HS/2018/16682,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,97 %,
HS/2018/16683,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2018/16684,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,89 %,
HS/2018/16686,M,M,1,M,1,1,1,1,1,M,1,1,1,1,0,1,1,1,1,1,1,M,0,1,94 %,
HS/2018/16687,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,77 %,
HS/2018/16688,1,M,1,1,1,1,1,M,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,86 %,
HS/2018/16689,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,66 %,
HS/2018/16690,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,57 %,
HS/2018/16691,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,89 %,
HS/2018/16692,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,63 %,
HS/2018/16693,1,0,1,1,1,0,0,1,1,M,1,M,1,1,1,1,1,1,0,1,1,1,1,1,83 %,
HS/2018/16694,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,91 %,
HS/2018/16695,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2018/16697,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,31 %,
HS/2018/16698,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,89 %,
HS/2018/16699,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,74 %,
HS/2018/16700,0,0,1,0,1,1,M,1,1,M,M,1,1,M,0,1,1,E,1,1,M,M,1,1,83 %,
HS/2018/16701,0,M,1,1,1,M,1,0,1,M,1,1,1,1,1,1,M,1,1,1,M,M,M,1,94 %,
HS/2018/16702,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,97 %,
HS/2018/16703,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,89 %,
HS/2018/16704,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2018/16705,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2018/16706,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,54 %,
HS/2018/16708,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,89 %,
HS/2018/16710,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,80 %,
HS/2018/16711,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16712,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,91 %,
HS/2018/16713,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,89 %,
HS/2018/16714,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,60 %,
HS/2018/16715,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,91 %,
HS/2018/16716,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,89 %,
HS/2018/16717,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,51 %,
HS/2018/16718,M,1,1,M,1,M,1,1,1,0,M,1,M,M,1,1,1,0,0,1,1,0,1,1,83 %,
HS/2018/16719,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16720,M,M,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,M,M,M,0,80 %,
HS/2018/16721,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2018/16722,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16723,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2018/16724,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,E,1,1,1,0,74 %,
HS/2018/16725,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2018/16726,0,0,1,0,1,0,M,1,1,0,1,1,1,1,1,1,1,M,M,1,1,1,1,1,77 %,
HS/2018/16728,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,77 %,
HS/2018/16729,0,1,1,0,1,1,0,1,1,1,M,1,1,1,1,M,1,1,0,1,1,1,1,1,86 %,
HS/2018/16730,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,86 %,
HS/2018/16731,1,0,1,M,1,1,1,1,M,1,1,1,M,1,1,1,1,0,1,1,1,1,1,1,89 %,
HS/2018/16732,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,89 %,
HS/2018/16733,M,1,1,1,0,0,1,0,1,M,1,1,1,1,1,1,1,1,1,1,M,M,M,1,89 %,
HS/2018/16734,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,91 %,
HS/2018/16735,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16736,M,M,1,1,1,M,0,1,1,M,1,M,1,1,1,0,1,1,1,1,1,1,1,1,91 %,
HS/2018/16737,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2018/16738,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,89 %,
HS/2018/16739,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,71 %,
HS/2018/16740,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,97 %,
HS/2018/16741,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,80 %,
HS/2018/16742,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,80 %,
HS/2018/16743,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,54 %,
HS/2018/16744,1,M,1,1,1,1,1,0,1,0,0,M,M,0,1,M,1,M,0,M,1,M,1,1,83 %,
HS/2018/16745,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,89 %,
HS/2018/16746,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,83 %,
HS/2018/16747,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16748,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,60 %,
HS/2018/16749,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16750,0,0,1,1,1,M,1,1,M,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,86 %,
HS/2018/16751,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,60 %,
HS/2018/16752,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,69 %,
HS/2018/16753,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,86 %,
HS/2018/16754,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,63 %,
HS/2018/16755,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,77 %,
HS/2018/16756,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2018/16757,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2018/16758,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,94 %,
HS/2018/16759,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,43 %,
HS/2018/16760,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,M,1,0,1,1,1,1,86 %,
HS/2018/16761,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16762,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,86 %,
HS/2018/16763,M,1,1,0,0,0,1,0,1,0,1,M,1,1,1,M,1,1,M,1,M,1,1,M,80 %,
HS/2018/16764,M,M,M,M,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16765,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2018/16766,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,83 %,
