Current Attendence Sheet Data of HIS22653  |  All Type


-,2019-08-01-16:00:00-Lect-2H-ng,2019-08-06-09:00:00-Lect-1H-ng,2019-08-08-16:00:00-Lect-2H-ng,2019-08-15-16:00:00-Lect-2H-ng,2019-08-20-09:00:00-Lect-1H-ng,2019-08-22-16:00:00-Lect-2H-ng,2019-12-10-09:00:00-Lect-1H-ng,2019-12-12-16:00:00-Lect-2H-ng,2019-12-17-09:00:00-Lect-1H-ng,2019-12-19-16:00:00-Lect-2H-ng,2019-12-24-09:00:00-Lect-1H-ng,2019-12-31-09:00:00-Lect-1H-ng,2020-01-02-16:00:00-Lect-2H-ng,2020-01-07-09:00:00-Lect-1H-ng,2020-01-09-16:00:00-Lect-2H-ng,2020-01-14-09:00:00-Lect-1H-ng,2020-01-16-16:00:00-Lect-2H-ng,2020-01-21-09:00:00-Lect-1H-ng,2020-01-23-16:00:00-Lect-2H-ng,2020-01-28-09:00:00-Lect-1H-ng,2020-01-30-16:00:00-Lect-2H-ng,2020-02-06-16:00:00-Lect-2H-ng,2020-02-11-09:00:00-Lect-1H-ng,2020-02-13-16:00:00-Lect-2H-ng,2020-02-18-09:00:00-Lect-1H-ng,%
HS/2017/16320,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,84 %,
HS/2017/16328,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16329,E,E,E,1,1,1,E,0,1,0,E,1,1,1,1,1,1,1,1,1,1,1,1,1,0,87 %,
HS/2017/16336,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,84 %,
HS/2017/16348,M,M,M,1,1,M,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,95 %,
HS/2017/16352,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2017/16355,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,79 %,
HS/2017/16356,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16362,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,M,1,1,1,M,1,1,1,79 %,
HS/2017/16365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,100 %,
HS/2017/16366,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,87 %,
HS/2017/16367,M,M,1,1,1,1,1,1,0,1,M,1,1,1,1,1,1,0,1,1,0,1,1,1,1,89 %,
HS/2017/16369,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,M,M,1,0,1,1,84 %,
HS/2017/16372,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16382,0,E,1,1,1,0,E,E,E,1,E,E,1,1,1,1,1,1,E,E,1,1,0,1,1,87 %,
HS/2017/16385,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,E,1,87 %,
HS/2017/16389,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,89 %,
HS/2017/16391,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,95 %,
HS/2017/16392,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16396,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,84 %,
HS/2017/16405,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,89 %,
HS/2017/16407,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16414,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,95 %,
HS/2017/16415,E,E,1,E,1,E,E,1,E,E,1,E,1,1,1,1,0,1,1,1,1,1,1,1,0,92 %,
HS/2017/16418,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,74 %,
HS/2017/16419,M,1,M,1,1,M,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,84 %,
HS/2017/16420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,89 %,
HS/2017/16421,E,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,E,1,1,1,1,84 %,
HS/2017/16424,M,M,1,M,1,M,M,1,M,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,92 %,
HS/2017/16429,E,1,1,M,1,M,1,1,1,1,1,E,1,1,E,1,M,1,M,1,1,1,1,1,1,100 %,
HS/2017/16430,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,M,M,1,0,1,1,84 %,
HS/2017/16435,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,87 %,
HS/2017/16439,0,0,1,1,1,0,M,M,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,82 %,
HS/2017/16442,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16452,1,0,1,0,1,1,E,E,1,E,E,E,1,1,1,1,1,1,1,E,1,1,0,1,1,89 %,
HS/2017/16455,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,76 %,
HS/2017/16459,1,0,0,1,1,1,1,1,1,1,1,1,1,1,M,1,1,1,1,1,0,1,1,1,1,87 %,
HS/2017/16462,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16463,E,E,E,1,1,E,1,E,1,E,1,E,0,1,1,1,0,1,1,1,E,1,1,1,1,89 %,
HS/2017/16465,M,1,1,1,1,1,M,1,1,1,1,M,1,1,1,1,1,1,1,1,0,1,1,0,1,89 %,
HS/2017/16469,0,1,1,0,1,0,1,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16470,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16471,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16472,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,84 %,
HS/2017/16474,M,1,1,1,1,1,1,M,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,84 %,
HS/2017/16478,M,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,87 %,
HS/2017/16479,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16485,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,84 %,
HS/2017/16487,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,84 %,
HS/2017/16489,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,84 %,
HS/2017/16490,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,89 %,
HS/2017/16492,M,M,1,M,1,1,M,1,1,1,1,1,1,1,M,1,M,1,1,1,M,1,1,1,1,100 %,
HS/2017/16493,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,89 %,
HS/2017/16494,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16495,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,92 %,
HS/2017/16496,E,E,1,1,1,E,1,1,1,1,1,1,1,1,1,1,E,1,1,1,E,1,1,1,0,97 %,
HS/2017/16497,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16500,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16505,E,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,84 %,
HS/2017/16507,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,87 %,
HS/2017/16516,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,82 %,
HS/2017/16523,M,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,M,1,1,1,M,1,1,1,1,100 %,
HS/2017/16526,1,0,1,0,1,0,M,1,1,0,1,1,1,1,1,1,1,1,1,1,M,1,1,1,1,82 %,
HS/2017/16531,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,82 %,
HS/2017/16532,E,E,E,E,1,E,E,E,E,E,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,79 %,
HS/2017/16533,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,84 %,
HS/2017/16540,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,95 %,
HS/2017/16544,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,87 %,
HS/2017/16548,0,E,1,1,1,0,1,0,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16565,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,E,1,1,1,1,1,1,87 %,
HS/2017/16566,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,95 %,
HS/2017/16569,M,1,1,1,1,E,1,1,1,1,1,1,1,1,M,1,1,1,1,1,M,1,1,1,1,100 %,
HS/2017/16573,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16583,0,E,0,1,1,0,E,1,1,1,E,E,1,E,1,1,1,1,1,E,1,1,0,1,E,82 %,
HS/2017/16588,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,89 %,
Total,91,114,126,119,134,88,113,127,128,126,131,118,121,130,121,133,119,129,121,133,81,129,123,122,126,
