Current Attendence Sheet Data of FDN32513  |  All Type


-,2019-07-31-10:00:00-Lect-2H-ng,2019-08-01-11:00:00-Lect-1H-ng,2019-08-07-10:00:00-Lect-2H-ng,2019-08-08-11:00:00-Lect-1H-ng,2019-08-14-10:00:00-Lect-2H-ng,2019-08-15-11:00:00-Lect-1H-ng,2019-08-21-10:00:00-Lect-2H-ng,2019-08-22-11:00:00-Lect-1H-ng,2019-12-11-10:00:00-Lect-2H-ng,2019-12-12-11:00:00-Lect-1H-ng,2019-12-18-10:00:00-Lect-2H-ng,2019-12-19-11:00:00-Lect-1H-ng,2019-12-25-10:00:00-Lect-2H-ng,2019-12-26-11:00:00-Lect-1H-ng,2020-01-01-10:00:00-Assi-1H-ng,2020-01-01-11:00:00-Assi-1H-ng,2020-01-02-11:00:00-Assi-1H-ng,2020-01-08-10:00:00-Lect-2H-ng,2020-01-09-11:00:00-Lect-1H-ng,2020-01-15-10:00:00-Lect-2H-ng,2020-01-16-11:00:00-Lect-1H-ng,2020-01-22-10:00:00-Lect-2H-ng,2020-01-23-11:00:00-Lect-1H-ng,2020-01-29-10:00:00-Lect-2H-ng,2020-01-30-11:00:00-Lect-1H-ng,2020-02-05-10:00:00-Assi-1H-ng,2020-02-05-11:00:00-Assi-1H-ng,2020-02-06-11:00:00-Assi-1H-ng,2020-02-12-10:00:00-Lect-2H-ng,2020-02-13-11:00:00-Lect-1H-ng,2020-02-19-10:00:00-Lect-2H-ng,2020-02-20-11:00:00-Lect-1H-ng,%
HS/2016/15767,0,1,1,0,1,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15771,0,0,1,1,1,0,M,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,M,1,1,1,1,1,1,1,0,87 %,
HS/2016/15773,1,1,0,1,1,1,1,1,1,M,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15774,M,M,1,1,1,M,1,M,1,1,1,1,1,1,1,1,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,0,98 %,
HS/2016/15781,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,84 %,
HS/2016/15783,0,0,1,1,1,M,M,M,1,0,1,1,1,1,1,1,1,1,1,1,1,M,1,M,1,1,1,1,0,0,0,0,78 %,
HS/2016/15784,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/15787,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/15789,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15793,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,89 %,
HS/2016/15796,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15800,M,M,1,1,1,M,1,M,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/15802,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,87 %,
HS/2016/15804,0,M,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,64 %,
HS/2016/15807,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,91 %,
HS/2016/15808,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,84 %,
HS/2016/15821,M,M,1,M,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,98 %,
HS/2016/15825,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15828,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,82 %,
HS/2016/15831,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15836,M,1,1,M,1,1,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,93 %,
HS/2016/15839,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,87 %,
HS/2016/15841,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15842,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15846,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15847,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15848,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,84 %,
HS/2016/15853,M,M,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/15855,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,84 %,
HS/2016/15857,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M,1,1,1,0,98 %,
HS/2016/15859,M,M,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,0,0,87 %,
HS/2016/15860,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15861,M,M,1,M,1,1,1,1,1,1,1,M,1,1,1,1,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,0,98 %,
HS/2016/15865,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15869,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15881,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/15885,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,87 %,
HS/2016/15886,M,M,M,M,1,M,M,M,1,M,1,1,1,1,1,1,1,1,1,1,M,M,M,M,M,1,1,1,1,0,1,0,96 %,
HS/2016/15889,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/15890,0,0,1,M,1,M,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,84 %,
HS/2016/15892,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,78 %,
HS/2016/15898,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15906,1,1,0,1,1,0,1,0,1,M,M,M,1,1,1,1,1,M,M,1,M,M,M,M,M,1,1,1,1,0,0,0,82 %,
HS/2016/15910,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,80 %,
HS/2016/15911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2016/15915,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15916,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,87 %,
HS/2016/15919,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/15921,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/15922,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,98 %,
HS/2016/15924,M,M,M,M,1,1,1,1,1,1,1,M,1,1,1,1,1,1,M,1,M,1,1,1,1,1,1,1,1,1,1,0,98 %,
HS/2016/15925,1,M,M,M,1,1,1,1,1,1,1,M,1,1,1,1,1,1,M,1,0,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/15926,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,82 %,
HS/2016/15928,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,87 %,
HS/2016/15934,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,98 %,
HS/2016/15935,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15936,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15937,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,93 %,
HS/2016/15943,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/15945,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15952,M,M,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15953,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,87 %,
HS/2016/15966,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,51 %,
HS/2016/15977,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/15978,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15982,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,84 %,
HS/2016/15986,0,1,0,1,1,0,0,0,1,M,M,M,1,1,1,1,1,M,M,1,M,M,M,M,M,1,1,1,M,M,1,0,80 %,
HS/2016/15987,0,M,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,82 %,
HS/2016/15990,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/15991,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15992,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15995,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15996,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,87 %,
HS/2016/16008,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16009,M,M,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16016,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,84 %,
HS/2016/16018,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/16020,M,0,1,0,1,0,M,M,1,1,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/16021,0,M,M,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/16022,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/16028,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16029,M,M,M,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,M,1,1,1,1,1,1,1,0,1,0,0,89 %,
HS/2016/16031,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,38 %,
HS/2016/16033,0,1,1,1,1,0,M,M,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16034,0,1,1,M,1,M,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,87 %,
HS/2016/16035,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,51 %,
HS/2016/16039,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,47 %,
HS/2016/16041,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,87 %,
HS/2016/16042,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/16043,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,47 %,
HS/2016/16045,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16046,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,0,87 %,
HS/2016/16047,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,64 %,
HS/2016/16049,0,0,0,1,1,1,1,1,1,M,M,M,1,1,1,1,1,M,M,1,M,1,1,1,M,1,1,1,0,0,0,0,76 %,
HS/2016/16050,M,M,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16055,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,93 %,
HS/2016/16057,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/16067,M,M,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16068,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/16069,M,M,M,M,1,M,M,M,1,M,M,1,1,1,1,1,1,1,M,1,1,1,1,1,M,1,1,1,1,1,1,0,98 %,
HS/2016/16070,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/16072,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M,M,0,0,1,1,1,1,1,1,0,91 %,
HS/2016/16075,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,98 %,
HS/2016/16084,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/16088,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16094,M,M,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16095,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/16097,0,M,M,1,1,M,M,M,1,M,1,1,1,1,1,1,1,1,M,1,1,1,1,0,0,1,1,1,0,0,1,0,80 %,
HS/2016/16100,M,M,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/16102,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,33 %,
HS/2016/16103,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,87 %,
HS/2016/16106,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/16107,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16109,M,1,M,1,1,M,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,98 %,
HS/2016/16112,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,82 %,
HS/2016/16113,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/16116,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,38 %,
HS/2016/16117,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,47 %,
HS/2016/16118,0,M,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,82 %,
HS/2016/16119,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,87 %,
HS/2016/16122,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,53 %,
HS/2016/16124,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,84 %,
HS/2016/16125,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,53 %,
HS/2016/16126,M,M,M,M,1,M,M,M,1,E,1,E,1,1,1,1,1,E,E,1,E,1,E,E,E,1,1,1,M,0,0,0,91 %,
HS/2016/16128,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,84 %,
HS/2016/16130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,93 %,
HS/2016/16133,M,M,M,M,1,M,M,M,1,E,1,E,1,1,1,1,1,E,E,1,E,1,E,E,E,1,1,1,M,0,0,0,91 %,
HS/2016/16134,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,36 %,
HS/2016/16135,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,89 %,
HS/2016/16136,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,56 %,
