Current Attendence Sheet Data of FDN32613  |  All Type


-,2019-07-31-10:00:00-Lect-2H-ng,2019-08-01-11:00:00-Lect-1H-ng,2019-08-07-10:00:00-Lect-2H-ng,2019-08-08-11:00:00-Lect-1H-ng,2019-08-14-10:00:00-Lect-2H-ng,2019-08-15-11:00:00-Lect-1H-ng,2019-08-21-10:00:00-Lect-2H-ng,2019-08-22-11:00:00-Lect-1H-ng,2019-12-11-10:00:00-Lect-2H-ng,2019-12-12-11:00:00-Lect-1H-ng,2019-12-18-10:00:00-Lect-2H-ng,2019-12-19-11:00:00-Lect-1H-ng,2019-12-25-10:00:00-Lect-2H-ng,2019-12-26-11:00:00-Lect-1H-ng,2020-01-01-10:00:00-Assi-1H-ng,2020-01-01-11:00:00-Assi-1H-ng,2020-01-02-11:00:00-Assi-1H-ng,2020-01-08-10:00:00-Lect-2H-ng,2020-01-09-11:00:00-Lect-1H-ng,2020-01-15-10:00:00-Lect-2H-ng,2020-01-16-11:00:00-Lect-1H-ng,2020-01-22-10:00:00-Lect-2H-ng,2020-01-23-11:00:00-Lect-1H-ng,2020-01-29-10:00:00-Lect-2H-ng,2020-01-30-11:00:00-Lect-1H-ng,2020-02-05-10:00:00-Assi-1H-ng,2020-02-05-11:00:00-Assi-1H-ng,2020-02-06-11:00:00-Assi-1H-ng,2020-02-12-10:00:00-Lect-2H-ng,2020-02-13-11:00:00-Lect-1H-ng,2020-02-19-10:00:00-Lect-2H-ng,2020-02-20-11:00:00-Lect-1H-ng,%
HS/2016/15866,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15867,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15868,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15870,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,87 %,
HS/2016/15871,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15872,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/15873,M,M,1,1,1,1,1,0,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,93 %,
HS/2016/15874,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/15875,M,M,1,1,1,M,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/15876,M,M,M,M,1,M,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,82 %,
HS/2016/15877,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15878,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15880,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2016/15882,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15883,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15884,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15887,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,89 %,
HS/2016/15888,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15891,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,91 %,
HS/2016/15893,M,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15894,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
