Current Attendence Sheet Data of FDN11513  |  All Type


-,2019-02-25-11:00:00-Lect-1H-ng,2019-02-28-08:00:00-Lect-2H-ng,2019-03-07-08:00:00-Lect-2H-ng,2019-03-11-11:00:00-Lect-1H-ng,2019-03-14-08:00:00-Lect-2H-ng,2019-03-18-11:00:00-Lect-1H-ng,2019-03-21-08:00:00-Lect-2H-ng,2019-03-25-11:00:00-Lect-1H-ng,2019-03-28-08:00:00-Lect-2H-ng,2019-04-01-11:00:00-Lect-1H-ng,2019-04-04-08:00:00-Lect-2H-ng,2019-04-08-11:00:00-Lect-1H-ng,2019-04-11-08:00:00-Lect-2H-ng,2019-05-16-08:00:00-Lect-2H-ng,2019-05-23-08:00:00-Lect-2H-ng,2019-05-27-11:00:00-Lect-1H-ng,2019-05-30-08:00:00-Lect-2H-ng,2019-06-03-11:00:00-Lect-1H-ng,2019-06-06-08:00:00-Lect-2H-ng,2019-06-10-11:00:00-Lect-1H-ng,2019-06-13-08:00:00-Lect-2H-ng,2019-06-17-11:00:00-Lect-1H-ng,2019-06-20-08:00:00-Lect-2H-ng,2019-06-24-11:00:00-Lect-1H-ng,2019-06-27-08:00:00-Lect-2H-ng,2019-07-01-11:00:00-Lect-1H-ng,%
HS/2018/16708,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,65 %,
HS/2018/16710,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,55 %,
HS/2018/16711,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,65 %,
HS/2018/16712,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,55 %,
HS/2018/16713,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,60 %,
HS/2018/16714,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,45 %,
HS/2018/16715,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,58 %,
HS/2018/16716,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,48 %,
HS/2018/16717,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,45 %,
HS/2018/16718,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,60 %,
HS/2018/16719,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,60 %,
HS/2018/16720,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,48 %,
HS/2018/16721,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,45 %,
HS/2018/16722,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,48 %,
HS/2018/16723,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,38 %,
HS/2018/16724,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,45 %,
HS/2018/16725,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,45 %,
HS/2018/16726,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,40 %,
HS/2018/16728,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,43 %,
HS/2018/16729,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,48 %,
HS/2018/16730,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,50 %,
