Current Attendence Sheet Data of GEO21513  |  All Type


-,2019-02-26-16:00:00-Lect-1H-ng,2019-02-27-16:00:00-Lect-2H-ng,2019-03-05-16:00:00-Lect-1H-ng,2019-03-12-16:00:00-Lect-1H-ng,2019-03-13-16:00:00-Lect-2H-ng,2019-03-19-16:00:00-Lect-1H-ng,2019-03-26-16:00:00-Lect-1H-ng,2019-03-27-16:00:00-Lect-2H-ng,2019-04-02-16:00:00-Lect-1H-ng,2019-04-09-08:00:00-Lect-1H-ng,2019-05-15-16:00:00-Lect-2H-ng,2019-05-21-16:00:00-Lect-1H-ng,2019-05-22-16:00:00-Lect-2H-ng,2019-05-28-16:00:00-Lect-1H-ng,2019-05-29-16:00:00-Lect-2H-ng,2019-06-11-16:00:00-Lect-1H-ng,2019-06-18-16:00:00-Lect-1H-ng,2019-06-18-16:00:00-Lect-1H-ng,2019-06-19-16:00:00-Lect-2H-ng,2019-06-26-16:00:00-Lect-2H-ng,%
HS/2017/16175,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,32 %,
HS/2017/16176,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,21 %,
HS/2017/16177,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11 %,
HS/2017/16180,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,46 %,
HS/2017/16181,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,61 %,
HS/2017/16182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16183,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,29 %,
HS/2017/16184,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4 %,
HS/2017/16186,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7 %,
HS/2017/16189,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7 %,
HS/2017/16190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16192,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,50 %,
HS/2017/16193,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,50 %,
HS/2017/16195,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,36 %,
HS/2017/16198,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4 %,
HS/2017/16204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16211,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,21 %,
HS/2017/16213,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,36 %,
HS/2017/16214,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,46 %,
HS/2017/16215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16217,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,39 %,
HS/2017/16222,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7 %,
HS/2017/16225,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,21 %,
HS/2017/16226,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11 %,
HS/2017/16227,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,18 %,
HS/2017/16229,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,14 %,
HS/2017/16230,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,18 %,
HS/2017/16233,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,46 %,
HS/2017/16234,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,14 %,
HS/2017/16235,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,64 %,
HS/2017/16236,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,36 %,
HS/2017/16238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16239,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,50 %,
HS/2017/16241,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11 %,
HS/2017/16244,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11 %,
HS/2017/16245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16253,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,14 %,
HS/2017/16257,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,36 %,
HS/2017/16259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16260,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,39 %,
HS/2017/16261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16266,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,14 %,
HS/2017/16267,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,25 %,
HS/2017/16268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16270,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 %,
HS/2017/16272,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7 %,
HS/2017/16274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16276,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,54 %,
HS/2017/16277,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,39 %,
HS/2017/16279,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7 %,
HS/2017/16281,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,29 %,
HS/2017/16282,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,21 %,
HS/2017/16285,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7 %,
HS/2017/16286,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,29 %,
HS/2017/16289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16290,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,39 %,
HS/2017/16291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16292,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,43 %,
HS/2017/16293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16294,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11 %,
HS/2017/16295,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11 %,
HS/2017/16297,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,39 %,
HS/2017/16299,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7 %,
HS/2017/16300,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,29 %,
HS/2017/16301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16302,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,29 %,
HS/2017/16303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16304,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,32 %,
HS/2017/16305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16306,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,46 %,
HS/2017/16311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16313,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,14 %,
HS/2017/16317,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,29 %,
HS/2017/16330,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,18 %,
HS/2017/16337,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,25 %,
HS/2017/16340,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,29 %,
HS/2017/16345,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,46 %,
HS/2017/16346,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,21 %,
HS/2017/16347,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,32 %,
HS/2017/16354,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,50 %,
HS/2017/16360,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,14 %,
HS/2017/16368,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,32 %,
HS/2017/16371,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,32 %,
HS/2017/16377,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,36 %,
HS/2017/16378,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,25 %,
HS/2017/16381,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,43 %,
HS/2017/16390,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,32 %,
HS/2017/16394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16395,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,21 %,
HS/2017/16400,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,32 %,
HS/2017/16402,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,32 %,
HS/2017/16403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4 %,
HS/2017/16409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7 %,
HS/2017/16410,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,29 %,
HS/2017/16411,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,39 %,
HS/2017/16412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7 %,
HS/2017/16413,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,18 %,
HS/2017/16416,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4 %,
HS/2017/16427,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,11 %,
HS/2017/16432,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,32 %,
HS/2017/16438,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,54 %,
HS/2017/16447,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,11 %,
HS/2017/16450,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,39 %,
HS/2017/16456,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,18 %,
HS/2017/16481,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,21 %,
HS/2017/16483,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,11 %,
HS/2017/16484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16499,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,36 %,
HS/2017/16501,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11 %,
HS/2017/16506,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,25 %,
HS/2017/16508,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,25 %,
HS/2017/16510,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,29 %,
HS/2017/16512,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,39 %,
HS/2017/16517,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,39 %,
HS/2017/16519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16527,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,43 %,
HS/2017/16529,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,21 %,
HS/2017/16530,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,36 %,
HS/2017/16543,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,64 %,
HS/2017/16545,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,68 %,
HS/2017/16547,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,43 %,
HS/2017/16552,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,75 %,
HS/2017/16555,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,18 %,
HS/2017/16557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16558,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,43 %,
HS/2017/16559,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,18 %,
HS/2017/16562,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,18 %,
HS/2017/16570,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,14 %,
HS/2017/16579,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,18 %,
HS/2017/16582,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,11 %,
HS/2017/16584,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,36 %,
HS/2017/16586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,21 %,
HS/2017/16594,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,46 %,
HS/2017/16595,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,36 %,
HS/2017/16596,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7 %,
HS/2017/16603,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,54 %,
Total,0,0,15,0,6,72,49,34,78,33,0,24,48,83,81,84,14,41,38,42,
