Current Attendence Sheet Data of HIS32653  |  All Type


-,2019-08-01-16:00:00-Lect-2H-ng,2019-08-02-13:00:00-Lect-1H-ng,2019-08-05-15:00:00-Lect-1H-ng,2019-08-08-16:00:00-Lect-1H-ng,2019-08-09-13:00:00-Lect-1H-ng,2019-12-06-13:00:00-Lect-2H-ng,2019-12-09-15:00:00-Lect-1H-ng,2019-12-13-13:00:00-Lect-2H-ng,2019-12-16-15:00:00-Lect-1H-ng,2019-12-27-13:00:00-Lect-2H-ng,2019-12-30-15:00:00-Lect-1H-ng,2020-01-03-13:00:00-Lect-2H-ng,2020-01-06-15:00:00-Lect-1H-ng,2020-01-13-15:00:00-Lect-1H-ng,2020-01-17-13:00:00-Lect-2H-ng,2020-01-20-15:00:00-Assi-1H-ng,2020-01-24-12:00:00-Lect-2H-ng,2020-01-27-15:00:00-Lect-1H-ng,2020-01-31-12:00:00-Lect-3H-ng,2020-02-03-15:00:00-Lect-1H-ng,2020-02-07-12:00:00-Lect-3H-ng,2020-02-10-13:00:00-Lect-1H-ng,2020-02-14-12:00:00-Lect-3H-ng,%
HS/2016/15981,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15985,E,E,E,1,1,1,E,E,E,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15988,M,M,M,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15989,0,0,0,1,1,1,0,0,E,0,1,1,1,1,1,1,1,1,1,1,1,1,1,75 %,
HS/2016/15997,M,M,M,1,1,1,M,M,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15998,E,E,E,E,E,1,E,0,1,0,1,1,1,1,1,1,E,1,1,1,1,1,1,89 %,
HS/2016/16000,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,E,1,1,1,92 %,
HS/2016/16001,1,1,1,1,1,1,E,E,E,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/16006,1,1,1,1,1,1,E,E,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16048,E,E,E,1,1,1,E,E,E,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/16064,1,1,1,1,E,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16065,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,81 %,
HS/2016/16071,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,81 %,
HS/2016/16073,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/16074,M,M,M,M,M,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/16076,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,67 %,
HS/2016/16078,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/16081,1,0,0,0,0,E,1,1,1,E,1,1,1,0,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/16082,0,0,0,1,1,1,0,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/16085,M,M,M,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,M,1,1,1,92 %,
HS/2016/16086,1,1,1,1,1,1,1,1,E,0,1,1,1,1,1,1,1,0,0,1,1,0,1,81 %,
HS/2016/16089,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16090,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/16091,0,0,0,1,0,1,M,E,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/16092,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,53 %,
HS/2016/16101,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,78 %,
HS/2016/16104,E,E,E,E,E,1,0,0,1,0,1,1,0,1,1,1,1,E,1,E,1,1,1,83 %,
HS/2016/16115,1,E,1,1,E,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
Total,64,67,66,86,83,96,76,75,90,61,94,98,94,96,96,98,97,93,96,98,99,97,99,
