Current Attendence Sheet Data of SUP22623  |  All Type


-,2019-07-31-14:00:00-Lect-1H-ng,2019-08-01-13:00:00-Lect-2H-ng,2019-08-07-14:00:00-Lect-1H-ng,2019-08-08-13:00:00-Lect-2H-ng,2019-08-15-13:00:00-Lect-2H-ng,2019-08-21-14:00:00-Lect-1H-ng,2019-08-22-13:00:00-Lect-2H-ng,2019-12-12-13:00:00-Lect-2H-ng,2019-12-18-14:00:00-Lect-1H-ng,2019-12-19-13:00:00-Lect-2H-ng,2019-12-24-10:00:00-Lect-2H-ng,2020-01-01-14:00:00-Lect-1H-ng,2020-01-02-13:00:00-Lect-2H-ng,2020-01-14-10:00:00-Lect-2H-ng,2020-01-16-13:00:00-Lect-2H-ng,2020-01-17-10:00:00-Lect-2H-ng,2020-01-22-14:00:00-Lect-1H-ng,2020-01-28-10:00:00-Lect-2H-ng,2020-01-29-14:00:00-Lect-1H-ng,2020-02-05-14:00:00-Lect-1H-ng,2020-02-06-13:00:00-Lect-2H-ng,2020-02-12-14:00:00-Lect-1H-ng,2020-02-20-13:00:00-Lect-2H-ng,%
HS/2017/16351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,84 %,
HS/2017/16352,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,86 %,
HS/2017/16353,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,81 %,
HS/2017/16355,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,84 %,
HS/2017/16356,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,81 %,
HS/2017/16361,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,84 %,
HS/2017/16362,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,81 %,
HS/2017/16363,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,84 %,
HS/2017/16364,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,M,M,1,0,1,1,1,0,86 %,
HS/2017/16365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,95 %,
HS/2017/16366,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,81 %,
HS/2017/16367,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,73 %,
HS/2017/16369,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,86 %,
HS/2017/16370,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,78 %,
HS/2017/16372,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,89 %,
HS/2017/16374,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,84 %,
HS/2017/16382,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,78 %,
HS/2017/16384,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,81 %,
HS/2017/16385,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,86 %,
HS/2017/16386,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,81 %,
HS/2017/16389,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,76 %,
HS/2017/16391,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,92 %,
HS/2017/16392,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,78 %,
HS/2017/16396,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,81 %,
HS/2017/16397,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,89 %,
HS/2017/16401,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,95 %,
HS/2017/16405,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,86 %,
HS/2017/16407,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,81 %,
HS/2017/16408,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,76 %,
HS/2017/16414,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,81 %,
HS/2017/16415,M,M,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,78 %,
HS/2017/16418,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,68 %,
HS/2017/16419,M,M,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,78 %,
HS/2017/16420,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,86 %,
HS/2017/16421,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,78 %,
HS/2017/16422,M,M,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,76 %,
HS/2017/16424,0,M,1,1,M,M,M,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,86 %,
HS/2017/16426,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,76 %,
HS/2017/16428,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,78 %,
HS/2017/16429,E,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,95 %,
HS/2017/16430,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,89 %,
HS/2017/16433,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,76 %,
HS/2017/16434,M,M,1,1,1,M,1,1,1,1,1,M,1,1,1,M,0,1,1,0,1,1,0,89 %,
HS/2017/16435,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,84 %,
HS/2017/16437,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,41 %,
HS/2017/16439,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,89 %,
HS/2017/16441,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,76 %,
HS/2017/16442,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,78 %,
HS/2017/16444,M,M,1,1,1,M,M,1,1,1,1,M,1,1,1,M,1,1,1,M,1,1,0,95 %,
HS/2017/16449,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,81 %,
HS/2017/16451,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,84 %,
HS/2017/16452,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,81 %,
HS/2017/16455,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,68 %,
HS/2017/16458,0,M,M,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,81 %,
HS/2017/16459,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,81 %,
HS/2017/16462,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,84 %,
HS/2017/16463,1,1,1,1,E,E,E,0,1,E,1,1,1,E,1,E,E,1,1,0,1,1,0,86 %,
HS/2017/16465,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,76 %,
HS/2017/16466,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,86 %,
HS/2017/16468,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,86 %,
HS/2017/16469,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,92 %,
HS/2017/16470,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,89 %,
HS/2017/16471,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,78 %,
HS/2017/16472,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,78 %,
HS/2017/16474,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,78 %,
HS/2017/16475,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,81 %,
HS/2017/16478,E,M,1,1,1,1,1,E,E,1,1,E,1,1,1,1,1,1,E,1,1,1,0,95 %,
HS/2017/16479,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,76 %,
HS/2017/16485,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,81 %,
HS/2017/16486,M,M,M,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,78 %,
HS/2017/16487,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,84 %,
HS/2017/16488,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,86 %,
HS/2017/16489,1,1,0,1,M,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,78 %,
HS/2017/16490,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,81 %,
HS/2017/16492,M,M,1,1,1,1,1,1,1,1,1,M,1,1,1,M,1,1,0,0,1,0,0,86 %,
HS/2017/16493,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,86 %,
HS/2017/16494,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,81 %,
HS/2017/16495,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,92 %,
HS/2017/16496,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,81 %,
HS/2017/16497,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,76 %,
HS/2017/16500,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,76 %,
HS/2017/16505,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,81 %,
HS/2017/16507,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,86 %,
HS/2017/16509,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,78 %,
HS/2017/16511,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,78 %,
HS/2017/16516,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,78 %,
HS/2017/16518,E,E,1,1,0,0,0,1,0,1,1,1,1,E,1,0,1,1,0,0,1,1,0,68 %,
HS/2017/16521,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,81 %,
HS/2017/16523,1,1,1,1,1,0,1,1,1,1,1,1,M,M,1,1,1,1,0,1,1,1,0,89 %,
HS/2017/16526,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,M,0,81 %,
HS/2017/16528,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,49 %,
HS/2017/16531,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,65 %,
HS/2017/16532,0,1,0,1,M,M,M,0,1,1,1,1,0,M,1,1,1,M,1,1,1,1,0,78 %,
HS/2017/16533,1,1,1,1,1,M,1,1,M,1,1,0,1,1,1,1,0,1,0,1,1,1,0,86 %,
HS/2017/16534,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,86 %,
HS/2017/16535,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,78 %,
HS/2017/16536,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,78 %,
HS/2017/16539,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,81 %,
HS/2017/16540,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,78 %,
