Current Attendence Sheet Data of FDN11523  |  All Type


-,2019-02-25-09:00:00-Lect-2H-ng,2019-02-25-16:00:00-Prac-2H-FEB5-A,2019-02-27-15:00:00-Prac-2H-FEB5-B,2019-02-28-14:00:00-Prac-2H-FEB5-C,2019-03-01-16:00:00-Prac-2H-MAR1-D,2019-03-06-15:00:00-Prac-2H-MAR2-B,2019-03-07-14:00:00-Prac-2H-MAR2-C,2019-03-08-16:00:00-Prac-2H-MAR2-D,2019-03-11-09:00:00-Lect-2H-ng,2019-03-11-14:00:00-Prac-2H-MAR3-A,2019-03-13-15:00:00-Prac-2H-MAR3-B,2019-03-14-14:00:00-Prac-2H-MAR3-C,2019-03-15-16:00:00-Prac-2H-MAR3-D,2019-03-18-09:00:00-Lect-2H-ng,2019-03-18-16:00:00-Prac-2H-MAR4-A,2019-03-21-14:00:00-Prac-2H-MAR4-C,2019-03-22-16:00:00-Prac-2H-MAR4-D,2019-03-25-09:00:00-Lect-2H-ng,2019-03-25-16:00:00-Prac-2H-MAR5-A,2019-03-27-15:00:00-Prac-2H-MAR5-B,2019-03-28-14:00:00-Prac-2H-MAR5-C,2019-03-29-16:00:00-Prac-2H-MAR5-D,2019-04-01-09:00:00-Lect-2H-ng,2019-04-01-16:00:00-Prac-2H-APR1-A,2019-04-03-15:00:00-Prac-2H-APR1-B,2019-04-04-14:00:00-Prac-2H-APR1-C,2019-04-05-16:00:00-Prac-2H-APR1-D,2019-04-08-09:00:00-Lect-2H-ng,2019-04-08-16:00:00-Prac-2H-APR2-A,2019-04-10-15:00:00-Prac-2H-APR2-B,2019-05-22-15:00:00-Prac-2H-MAY4-B,2019-05-23-14:00:00-Prac-2H-MAY4-C,2019-05-24-16:00:00-Prac-2H-MAY4-D,2019-05-27-09:00:00-Lect-2H-ng,2019-05-27-16:00:00-Prac-2H-MAY5-A,2019-05-29-15:00:00-Prac-2H-MAY5-B,2019-05-30-14:00:00-Prac-2H-MAY5-C,2019-05-31-16:00:00-Prac-2H-MAY5-D,2019-06-03-09:00:00-Lect-2H-ng,2019-06-03-16:00:00-Prac-2H-JUN2-A,2019-06-06-14:00:00-Prac-2H-JUN2-C,2019-06-07-16:00:00-Prac-2H-JUN2-D,2019-06-10-09:00:00-Lect-2H-ng,2019-06-10-16:00:00-Prac-2H-JUN3-A,2019-06-12-15:00:00-Prac-2H-JUN3-B,2019-06-13-14:00:00-Prac-2H-JUN3-C,2019-06-14-16:00:00-Prac-2H-JUN3-D,2019-06-17-09:00:00-Lect-2H-ng,2019-06-17-16:00:00-Prac-2H-JUN4-A,2019-06-19-15:00:00-Prac-2H-JUN4-B,2019-06-20-14:00:00-Prac-2H-JUN4-C,2019-06-21-16:00:00-Prac-2H-JUN4-D,2019-06-24-09:00:00-Lect-2H-ng,2019-06-24-16:00:00-Prac-2H-JUN5-A,2019-06-26-15:00:00-Prac-2H-JUN5-B,2019-06-27-14:00:00-Prac-2H-JUN5-C,2019-06-28-16:00:00-Prac-2H-JUN5-D,2019-07-01-16:00:00-Prac-2H-JULY1-A,%
HS/2018/16728,0,0, ,1, , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,0, , , ,1,1, , , , ,1,0, , , ,0,0, , ,0,0, , , ,0,0, , , ,1,0, , , ,0,31 %,
HS/2018/16729,0,0, ,1, , , , ,0,0, , , ,0,0, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,1,1, , , ,1,1, , , ,0,0, , , ,1,38 %,
HS/2018/16730,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,0,0, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,1,1, , , ,0,38 %,
HS/2018/16731,0, ,1, , ,0, , ,1, ,0, , ,1, , , ,0, ,1, , ,1, ,0, , ,1, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,1, ,0, , , ,31 %,
HS/2018/16732,0, ,0, , ,0, , ,1, ,1, , ,1, , , ,0, ,1, , ,1, ,0, , ,1, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,42 %,
HS/2018/16733,0,0, ,1, , , , ,0,1, , , ,0,0, , ,0,0, , , ,0,1, , , ,1,1, , , , ,1,1, , , ,0,0, , ,1,0, , , ,0,1, , , ,1,1, , , ,0,42 %,
HS/2018/16734,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,1,1, , , ,1,62 %,
HS/2018/16735,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,1, , , ,0,0, , , ,0,46 %,
HS/2018/16736,0,0,1, , , , , ,0,0, , , ,0,0, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,0, , , ,1,1, , , ,0,31 %,
HS/2018/16737,0,1, , , , , , ,1,1, , , ,1,1, , ,0,0, , , ,0,0, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,1,1, , , ,1,54 %,
HS/2018/16738,0,0,1, , , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,1,1, , , , ,0,0, , , ,0,0, , ,0,0, , , ,1,1, , , ,1,0, , , ,0,38 %,
HS/2018/16739,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,0, , , ,1,1, , ,1, ,1,0, ,1, ,0,0, , ,1,0, , , ,1,0, , , ,0,0, ,1, ,0,54 %,
HS/2018/16740,0,0, ,1, , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,1, , , ,1,1, , , ,0,54 %,
HS/2018/16741,0,0, , , , , , ,1,0, , , ,1,1, , ,0,0, , , ,1,0, , , ,1,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,0, , , ,1,0, , , ,0,38 %,
HS/2018/16742,0,0, ,1, , , , ,0,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,1, , , ,1,1, , , ,0,50 %,
HS/2018/16743,0, ,1, , ,0, , ,1, ,1, , ,0, , , ,0, ,1, , ,1, ,0, , ,1, ,0,0, , ,0, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,0, , , ,27 %,
HS/2018/16744,0,0, ,1, , , , ,1,1, , , ,1,0, , ,0,0, , , ,0,0, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,0,0, , , ,0,23 %,
HS/2018/16745,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,0, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,1,1, , , ,0,38 %,
HS/2018/16746,0, ,1, , ,0, , ,1, ,0, , ,1, , , ,0, ,1, , ,1, ,1, , ,1, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,46 %,
HS/2018/16747,0,0, ,1, , , , ,1,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,1,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,0,0, , , ,1,31 %,
HS/2018/16748,0,1, , , , , , ,1,1, , , ,1,1, , ,0,0, , , ,0,0, , , ,1,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,0,0, , , ,0,35 %,
HS/2018/16749,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,1,0, , , , ,1,0, , , ,0,0, , ,1,0, , , ,1,1, , , ,0,0, , , ,0,46 %,
HS/2018/16750,0,0,1, , , , , ,0,0, , , ,1,1, , ,0,0, , , ,0,0, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,0,0, , , ,0,27 %,
HS/2018/16751,0, , , ,1, , ,0,0, , , ,0,1, , ,0,0, , , ,0,1, , , ,0,1, , , , ,0,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,0,0, , , ,0, ,19 %,
HS/2018/16752,0, ,0, , ,0, , ,0, ,0, , ,1, , , ,0, ,1, , ,1, ,0, , ,0, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,0, , , ,23 %,
HS/2018/16753,0,0, ,1, , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,1,1, , , , ,0,1, , , ,0,0, , ,0,1, , , ,0,0, , , ,1,1, , , ,1,54 %,
HS/2018/16754,0, ,1, , ,0, , ,0, ,0, , ,1, , , ,0, ,0, , ,0, ,0, , ,0, ,0,0, , ,1,1,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,0, , , ,23 %,
HS/2018/16755,0,0, ,1, , , , ,0,0, , , ,1,1, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,0,0, , , ,0,35 %,
HS/2018/16756,0,0, ,1, , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,1, , , ,1,1, , , ,1,50 %,
HS/2018/16757,0,0,1, , , , , ,1,0, , , ,1,0, , ,0,0, , , ,1,1, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,1, , , ,1,0, , , ,0,50 %,
HS/2018/16758,0,0, , , , , , ,1,1, , , ,1,1, , ,0,0, , , ,0,0, , , ,1,1, , , , ,0,0, , , ,0,0, , ,0,1, , , ,1,0, , , ,0,0, , , ,0,31 %,
HS/2018/16759,0,0, , , , , , ,1,1, , , ,1,0, , ,0,0, , , ,0,0, , , ,1,0, , , , ,1,1, , , ,0,0, , ,1,1, , , ,0,0, , , ,0,0, , , ,0,31 %,
HS/2018/16760,0,0,1, , , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,1, , , ,0,0, , , ,1,50 %,
HS/2018/16761,0, ,1, , ,0, , ,1, ,1, , ,1, , , ,0, ,1, , ,0, ,0, , ,0, ,1,1, , ,1, ,0, , ,0, , , ,1, ,0, , ,0, ,0, , ,0, ,1, , , ,38 %,
HS/2018/16762,0, ,1, , ,0, , ,1, ,0, , ,1, , , ,0, ,1, , ,0, ,0, , ,0, ,1,0, , ,0, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,31 %,
HS/2018/16763,0, ,1,1, ,0, , ,0, ,1, , ,0, , , ,0, ,1, , ,1, ,0, , ,1, ,0,0, , ,1, ,0, , ,0, , , ,1, ,0, , ,1, ,0, , ,1, ,0, , , ,38 %,
HS/2018/16764,0, , , , , , , ,1, , , , ,0, , , ,0, , , , ,0, , , , ,0, , , , , ,0, , , , ,0, , , ,0, , , , ,1, , , , ,1, , , , , ,12 %,
HS/2018/16765,0, ,0,1, ,0, , ,1, ,1, , ,1, , , ,0, ,1, , ,0, ,0, , ,0, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,38 %,
HS/2018/16766,0, ,1, , ,0, , ,1, ,1, , ,0, , , ,0, ,1, , ,0, ,0, , ,0, ,1,0, , ,1, ,0, , ,0, , , ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,35 %,
HS/2018/16767,0, ,1, , ,0, , ,1, ,1, , ,1, , , ,0, ,1, , ,1, ,0, , ,1, ,1,1, , ,1, ,0, , ,0, , , ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,50 %,
HS/2018/16768,0, ,0,1, ,0, , ,0, ,1, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,1, , ,1,27 %,
HS/2018/16769,0, ,1, , ,0, , ,1, ,1, , ,0, , , ,0, ,1, , ,1, ,0, , ,1, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,0, , , ,31 %,
HS/2018/16770,0, ,1, , ,0, , ,1, ,1, , ,1, , , ,0, ,0, , ,0, ,1, , ,1, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,0, , , ,35 %,
HS/2018/16771,0, ,1, , ,0, , ,1, ,1, , ,1, , , ,0, ,0, , ,0, ,0, , ,1, ,1,0, , ,1, ,0, , ,0, , , ,1, ,0, , ,0, ,0, , ,0, ,0, , , ,31 %,
HS/2018/16772,0, ,1, , ,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,1, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,0, , , ,19 %,
HS/2018/16773,0, ,1, , ,0, , ,0, ,1, , ,1, , , ,0, ,1, , ,1, ,0, , ,1, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,0, , , ,35 %,
HS/2018/16774,0, ,1, , ,0, , ,0, ,1, , ,1, , , ,0, ,1, , ,1, ,0, , ,0, ,0,0, , ,1, ,0, , ,0, , , ,1, ,0, , ,1, ,0, , ,1, ,1, , , ,38 %,
HS/2018/16775,0, ,1, , ,0, , ,1, ,1, , ,1, , , ,0, ,1, , ,0, ,0, , ,0, ,1,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,0, , , ,35 %,
HS/2018/16776,0, ,1, , ,0, , ,1, ,1, , ,0, , , ,0, ,1, , ,0, ,0, , ,0, ,1,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,0, ,1, , , ,31 %,
HS/2018/16777,0,1, , , , , , ,1,0, , , ,1,0, , ,0,0, , , ,1,0, , , ,0,0, , , , ,1,0, , , ,0,0, , ,0,0, , , ,1,0, , , ,0,0, , , ,0,23 %,
HS/2018/16778,0, , , ,1, , ,0,0, , , ,0,1, , ,0,0, ,1, ,0,0, , , ,0,1, , , , ,0,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,0,0, , , ,0, ,19 %,
HS/2018/16779,0, ,0,1, ,0, , ,0, ,1, , ,1, , , ,0, ,1, , ,0, ,0, , ,0, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,35 %,
HS/2018/16780,0, ,1, , ,0, , ,1, ,1, , ,1, , , ,0, ,1, , ,1, ,0, , ,1, ,1,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,1, , , ,46 %,
HS/2018/16781,0, ,0, , ,0, , ,1, ,0, , ,0, , , ,0, ,1, , ,0, ,0, , ,1, ,1,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,35 %,
HS/2018/16782,0, ,0,1, ,0, , ,1, ,1, , ,0, , , ,0, ,1, , ,1, ,1, , ,1, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,0, , , ,38 %,
HS/2018/16783,0, ,0, , ,0, , ,1, ,0, , ,0, , , ,0, ,1, , ,1, ,0, , ,0, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,1, , , ,27 %,
HS/2018/16784,0, ,0,1, ,0, , ,0, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,0, ,1,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,1, ,0, , , ,19 %,
HS/2018/16785,0, ,0,1, ,0, , ,0, ,1, , ,0, , , ,0, ,1, , ,1, ,0, , ,1, ,0,1, , ,1, ,0, , ,0, , , ,1, ,0, , ,0, ,0, , ,1, ,1, , , ,38 %,
HS/2018/16786,0, ,0,1, ,0, , ,1, ,1, , ,0, , , ,0, ,1, , ,1, ,0, , ,0, ,1,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,1, , , ,38 %,
HS/2018/16787,0, ,1,1, ,0, , ,1, ,0, , ,1, , , ,0, ,1, , ,1, ,0, , ,0, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,1, , , ,38 %,
HS/2018/16788,0, ,0, , ,0, , ,0, ,0, , ,1, , , ,0, ,1, , ,0, ,0, , ,1, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,1, ,0, , , ,19 %,
HS/2018/16789,0,1,0, , ,0, , ,0, ,1, , ,1, , , ,0, ,1, , ,0, ,0, , ,0, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,0, , , ,31 %,
HS/2018/16790,0, ,0,1, ,0, , ,1, ,1, , ,1, , , ,0, ,1, , ,1, ,0, , ,1, ,0,0, , ,1, ,0, , ,0, , , ,1, ,0, , ,1, ,0, , ,1, ,1, , , ,46 %,
HS/2018/16791,0, ,1, , ,0, , ,1, ,1, , ,1, , , ,0, ,1, , ,1, ,0, , ,1, ,1,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,46 %,
HS/2018/16792,0, ,0, , ,0, , ,1, ,1, , ,1, , , ,0, ,1, , ,1, ,0, , ,1, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,0, , , ,38 %,
HS/2018/16793,0, ,0, , ,0, , ,1, ,0, , ,1, , , ,0, ,1, , ,0, ,0, , ,1, ,1,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,0, , , ,31 %,
HS/2018/16794,0, ,0,1, ,0, , ,0, ,1, , ,1, , , ,0, ,0, , ,1, ,0, , ,1, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,35 %,
HS/2018/16795,0, ,0, , ,0, , ,1, ,1, , ,1, , , ,0, ,0, , ,1, ,0, , ,1, ,0,0, , ,1, ,0, , ,0, , , ,1, ,0, , ,0, ,0, , ,1, ,0, , , ,31 %,
HS/2018/16796,0, ,0,1, ,0, , ,1, ,1, , ,0, , , ,0, ,1, , ,1, ,0, , ,0, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,1, ,0, , , ,31 %,
HS/2018/16798,0, ,0,1, ,0, , ,1, ,0, , ,1, , , ,0, ,0, , ,0, ,0, , ,0, ,0,1, , ,0, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,0, ,1, , , ,19 %,
HS/2018/16799,0, , ,1, , ,0, ,0, , ,0, ,0, ,0, ,0, , ,0, ,0, , ,0, ,0, , , ,0, ,1, , ,0, ,0, ,0, ,0, , ,0, ,1, , ,0, ,1, ,1,0, , ,19 %,
HS/2018/16800,0, , ,0, , ,1, ,1, , ,1, ,0, ,1, ,0, , ,1, ,0, , ,0, ,0, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,0, ,0, , ,1, , ,31 %,
HS/2018/16801,0, , ,1, , ,1, ,1, , ,0, ,0, ,1, ,0, , ,1, ,1, , ,0, ,0, , , ,1, ,1, , ,0, ,0, ,0, ,0, , ,0, ,0, , ,1, ,1, , ,0, , ,38 %,
HS/2018/16802,0, , ,1, , ,0, ,1, , ,0, ,1, ,1, ,0, , ,1, ,0, , ,0, ,0, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,0, ,0, , ,0, , ,27 %,
HS/2018/16803,0, , ,1, , ,0, ,1, , ,1, ,1, ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,1, ,0, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,0, , ,0, , ,38 %,
HS/2018/16804,0, , ,0, , ,1, ,1, , ,1, ,0, ,1, ,0, , ,1, ,0, , ,0, ,0, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,0, ,0, , ,0, , ,27 %,
HS/2018/16805,0, , ,1, , ,1, ,0, , ,0, ,0, ,1, ,0, , ,1, ,0, , ,0, ,0, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,0, ,1, , ,0, , ,27 %,
HS/2018/16806,0, , ,1, , ,0, ,1, , ,1, ,1, ,1, ,0, , ,1, ,1, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,0, , ,54 %,
HS/2018/16807,0, , ,1, , ,0, ,1, , ,1, ,1, ,1, ,0, , ,1, ,1, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,1, , ,0, ,0, , ,1, ,1, , ,0, , ,54 %,
HS/2018/16808,0, ,1,0, , ,0, ,0, , ,0, ,1, ,1, ,0, , ,1, ,0, , ,0, ,0, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,0, , ,0, , ,27 %,
HS/2018/16809,0, , ,1, , ,0, ,1, , ,0, ,0, ,1, ,0, , ,1, ,0, , ,0, ,0, , , ,0, ,0, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,0, ,0, , ,0, , ,19 %,
HS/2018/16810,0, , ,1, , ,0, ,1, , ,1, ,1, ,1, ,0, , ,1, ,1, , ,0, ,0, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,1, , ,54 %,
HS/2018/16811,0, , ,1, , ,0, ,1, , ,1, ,0, ,1, ,0, , ,0, ,0, , ,0, ,0, , , ,1, ,0, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,1, , ,0, , ,31 %,
HS/2018/16812,0, , ,1, , ,0, ,1, , ,1, ,1, ,1, ,0, , ,1, ,0, , ,0, ,0, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,0, , ,42 %,
HS/2018/16814,0, , ,1, , ,0, ,1, , ,1, ,1, ,1, ,0, , ,0, ,1, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,1, , ,0, ,0, , ,1, ,1, , ,0, , ,50 %,
HS/2018/16815,0, , ,1, , ,1, ,1, , ,1, ,0, ,1, ,0, , ,1, ,1, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,0, , ,1, , ,54 %,
HS/2018/16816,0, , ,1, , ,1, ,0, , ,1, ,0, ,1, ,0, , ,0, ,1, , ,0, ,0, , , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,0, , ,1, , ,38 %,
HS/2018/16817,0, , ,1, , ,1, ,1, , ,1, ,1, ,1, ,0, , ,1, ,1, , ,0, ,0, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,1, , ,58 %,
HS/2018/16818,0,1, ,1, , ,0, ,1, , ,1, ,0, ,1, ,0, , ,1, ,1, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,1, , ,1, , ,54 %,
HS/2018/16819,0,1,0, , ,0, , ,0, ,0, , ,0, , , ,0, ,0, , ,1, ,1, , ,0, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,31 %,
HS/2018/16820,0, , ,1, , ,0, ,1, , ,0, ,0, ,1, ,0, , ,1, ,0, , ,0, ,0, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,0, ,1, , ,0, , ,31 %,
HS/2018/16821,0, , ,1, , ,0, ,0, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,0, ,0, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,1, , ,35 %,
HS/2018/16822,0, , ,1, , ,1, ,1, , ,0, ,0, ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,1, , ,1, , ,50 %,
HS/2018/16823,0, , ,1, , ,0, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,0, ,0, , , ,1, ,0, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,1, , ,1, , ,31 %,
HS/2018/16824,0, , ,1, , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,1, , , ,1, ,1, , ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,1, , ,1, , ,46 %,
HS/2018/16825,0, ,0,1, ,0, , ,1, ,0, , ,1, , , ,0, ,1, , ,1, ,0, , ,1, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,0, , , ,35 %,
HS/2018/16826,0, , ,1, , ,1, ,0, , ,1, ,0, ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,1, ,1,1, ,1, ,0, ,0, ,0, , ,0, ,1, , ,0, ,0, , ,0, , ,42 %,
HS/2018/16827,0, , ,0,1, ,0, ,0, , ,0, ,1, ,1, ,0, , ,1, ,1, , ,0, ,0, , , ,1, ,1,1, ,1, ,0, ,0, ,0, , ,0, ,1, , ,1, ,0, , ,1, , ,46 %,
HS/2018/16828,0, ,0,1, ,0, , ,1, ,0, , ,1, , , ,0, ,1, , ,0, ,1, , ,0, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,1, , , ,35 %,
HS/2018/16829,0, , ,0, , ,1, ,1, , ,1, ,0, ,1, ,0, , ,1, ,0, , ,0, ,1, , , ,1, ,1,1, ,1, ,0, ,0, ,1, , ,0, ,0, , ,0, ,0, , ,0, , ,42 %,
HS/2018/16830,0, ,1, , ,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,1, , ,0, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,0, ,0, , ,1, ,0, , , ,19 %,
HS/2018/16831,0, , ,1, , ,0, ,1, , ,0, ,1, ,0, ,0, , ,0, ,0, , ,0, ,0, , , ,0, ,1, , ,0, ,0, ,0, ,1, , ,0, ,0, , ,0, ,0, , ,0, , ,19 %,
HS/2018/16832,0, , , , , , , ,1, , , , ,0, , , ,0, , , , ,0, , , , ,0, , , , , ,1, , , , ,0, , , ,0, , , , ,0, , , , ,0, , , , , ,8 %,
HS/2018/16833,0, ,0,1, ,0, , ,0, ,1, , ,1, , , ,0, ,0, , ,1, ,1, , ,1, ,0,0, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,0, , , ,35 %,
HS/2018/16834,0, ,0, ,1,0, , ,1, ,1, , ,0, , , ,0, ,1, , ,0, ,1, , ,1, ,0,1, , ,0, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,1, ,1, , , ,38 %,
HS/2018/16835,0, , ,1, , ,0, ,1, , ,1, ,0, ,1, ,0, , ,0, ,0, , ,0, ,0, , , ,0, ,1,1, ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,0, , ,0, , ,31 %,
HS/2018/16836,0, , ,0, , ,1, ,1, , ,1, ,1, ,0, ,0, , ,0, ,0, , ,0, ,1, , , ,0, ,0, , ,0, ,0, ,0, ,0, , ,0, ,1, , ,0, ,0, , ,0, , ,23 %,
HS/2018/16838,0, , ,1, , ,1, ,0, , ,1, ,0, ,1, ,0, , ,1, ,1, , ,0, ,0, , , ,1, ,1,1, ,1, ,0, ,0, ,0, , ,0, ,0, , ,1, ,0, , ,1, , ,46 %,
HS/2018/16839,0, , ,0, , ,0, ,1, , ,0, ,0, ,0, ,0, , ,1, ,0, , ,0, ,1, , , ,0, ,0, , ,0, ,0, ,0, ,0, , ,0, ,1, , ,0, ,1, , ,0, , ,19 %,
