Current Attendence Sheet Data of SOC12513  |  All Type


-,2019-08-01-13:00:00-Lect-1H-ng,2019-08-06-10:00:00-Lect-2H-ng,2019-08-08-13:00:00-Lect-1H-ng,2019-08-13-10:00:00-Lect-2H-ng,2019-08-15-13:00:00-Lect-1H-ng,2019-12-10-10:00:00-Lect-2H-ng,2019-12-12-13:00:00-Lect-1H-ng,2019-12-17-10:00:00-Lect-2H-ng,2019-12-19-13:00:00-Lect-1H-ng,2019-12-24-10:00:00-Lect-2H-ng,2019-12-31-10:00:00-Lect-2H-ng,2020-01-02-13:00:00-Lect-1H-ng,2020-01-08-10:00:00-Lect-2H-ng,2020-01-14-10:00:00-Lect-2H-ng,2020-01-16-13:00:00-Lect-1H-ng,2020-01-21-10:00:00-Lect-2H-ng,2020-01-28-10:00:00-Lect-2H-ng,2020-01-30-13:00:00-Lect-1H-ng,2020-02-06-10:00:00-Lect-2H-ng,2020-02-11-09:00:00-Lect-1H-ng,2020-02-18-10:00:00-Lect-2H-ng,%
HS/2018/16775,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16776,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16777,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,76 %,
HS/2018/16778,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,82 %,
HS/2018/16779,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16780,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16781,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16782,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16783,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,82 %,
HS/2018/16784,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16786,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16787,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16789,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16790,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16792,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,79 %,
HS/2018/16793,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16794,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16799,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,88 %,
HS/2018/16800,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16802,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,82 %,
HS/2018/16804,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,85 %,
HS/2018/16805,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,85 %,
HS/2018/16807,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16809,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16810,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16812,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16814,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,79 %,
HS/2018/16816,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,88 %,
HS/2018/16817,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,88 %,
HS/2018/16820,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
