Current Attendence Sheet Data of SUP32513  |  All Type


-,2019-07-29-16:00:00-Lect-2H-ng,2019-07-31-13:00:00-Lect-1H-ng,2019-08-05-16:00:00-Lect-2H-ng,2019-08-07-13:00:00-Lect-1H-ng,2019-08-19-16:00:00-Lect-2H-ng,2019-12-09-16:00:00-Lect-2H-ng,2019-12-16-16:00:00-Lect-2H-ng,2019-12-18-13:00:00-Lect-1H-ng,2019-12-23-16:00:00-Lect-2H-ng,2019-12-30-14:00:00-Lect-2H-ng,2020-01-01-13:00:00-Lect-1H-ng,2020-01-06-16:00:00-Lect-2H-ng,2020-01-13-16:00:00-Lect-2H-ng,2020-01-20-16:00:00-Lect-2H-ng,2020-01-27-16:00:00-Lect-2H-ng,2020-01-29-13:00:00-Lect-1H-ng,2020-02-03-16:00:00-Lect-2H-ng,2020-02-05-13:00:00-Lect-1H-ng,2020-02-10-16:00:00-Lect-2H-ng,2020-02-12-13:00:00-Lect-1H-ng,%
HS/2016/16022,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/16028,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/16029,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,85 %,
HS/2016/16031,E,E,E,1,1,E,E,E,E,E,1,1,E,E,E,E,0,1,0,0,85 %,
HS/2016/16033,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/16034,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/16035,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9 %,
HS/2016/16039,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,21 %,
HS/2016/16041,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,85 %,
HS/2016/16042,0,0,1,1,0,1,1,1,1,1,M,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/16043,M,M,1,1,M,M,0,0,0,0,1,1,0,1,0,0,0,0,0,0,45 %,
HS/2016/16045,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/16046,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/16047,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,48 %,
HS/2016/16049,M,M,M,M,1,M,1,M,M,1,M,1,1,1,1,M,0,0,0,0,82 %,
HS/2016/16050,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/16055,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,94 %,
HS/2016/16057,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,88 %,
HS/2016/16067,M,M,0,M,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/16068,M,M,M,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/16069,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,52 %,
HS/2016/16070,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/16072,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,85 %,
HS/2016/16075,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/16084,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/16088,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/16094,M,M,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/16095,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/16097,E,E,M,M,1,M,1,1,M,1,1,1,M,1,1,M,M,M,1,M,100 %,
HS/2016/16100,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/16102,0,0,0,0,0,0,0,0,M,M,M,M,1,M,M,M,0,0,0,0,42 %,
HS/2016/16103,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,79 %,
HS/2016/16106,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/16107,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/16109,M,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16112,E,1,1,1,E,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16113,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/16116,E,E,E,E,E,E,E,E,1,E,E,1,E,1,E,E,E,0,0,0,88 %,
HS/2016/16117,E,E,1,1,1,E,E,E,1,E,1,1,E,E,E,E,0,0,0,0,82 %,
HS/2016/16118,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/16119,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,91 %,
HS/2016/16122,E,E,1,1,E,E,1,E,E,E,1,1,E,E,E,E,0,0,0,0,82 %,
HS/2016/16124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,94 %,
HS/2016/16125,E,E,1,1,E,E,1,E,E,E,1,1,E,E,E,E,0,0,0,0,82 %,
HS/2016/16126,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,67 %,
HS/2016/16128,E,E,E,1,1,E,1,1,E,1,1,1,1,1,E,1,0,1,0,0,85 %,
HS/2016/16130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,94 %,
HS/2016/16133,E,E,1,E,E,E,1,1,E,1,1,E,E,1,E,E,0,0,0,1,85 %,
HS/2016/16134,E,E,1,E,E,E,E,E,E,E,1,1,E,E,E,E,0,0,0,0,82 %,
HS/2016/16135,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,88 %,
HS/2016/16136,M,M,1,1,M,M,M,M,M,M,1,1,1,M,M,1,0,0,0,0,82 %,
HS/2016/16137,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/16138,M,M,M,1,E,E,E,E,E,E,0,1,1,1,0,1,1,1,0,1,85 %,
HS/2016/16139,0,0,1,1,1,1,1,1,1,1,0,1,1,M,1,M,1,1,1,1,88 %,
Total,46,73,135,137,141,131,139,151,147,151,121,161,152,155,154,154,135,144,139,141,
