Current Attendence Sheet Data of FDN12523  |  All Type


-,2019-07-29-09:00:00-Lect-2H-ng,2019-07-29-15:00:00-Prac-2H-JULY5-A,2019-07-30-16:00:00-Prac-2H-JULY5-B,2019-08-01-15:00:00-Prac-2H-JULY5-C,2019-08-02-15:00:00-Prac-2H-JULY5-D,2019-08-05-09:00:00-Lect-2H-ng,2019-08-05-15:00:00-Prac-2H-AUG2-A,2019-08-06-16:00:00-Prac-2H-AUG2-B,2019-08-08-15:00:00-Prac-2H-AUG2-C,2019-08-09-15:00:00-Prac-2H-AUG2-D,2019-08-12-09:00:00-Lect-2H-ng,2019-08-12-15:00:00-Prac-2H-AUG3-A,2019-08-13-16:00:00-Prac-2H-AUG3-B,2019-08-15-15:00:00-Prac-2H-AUG3-C,2019-08-16-15:00:00-Prac-2H-AUG3-D,2019-08-19-09:00:00-Lect-2H-ng,2019-08-19-15:00:00-Prac-2H-AUG4-A,2019-08-20-16:00:00-Prac-2H-AUG4-B,2019-08-22-15:00:00-Prac-2H-AUG4-C,2019-08-23-15:00:00-Prac-2H-AUG4-D,2019-12-09-09:00:00-Lect-2H-ng,2019-12-09-15:00:00-Prac-2H-DEC2-A,2019-12-10-16:00:00-Prac-2H-DEC2-B,2019-12-12-15:00:00-Prac-2H-DEC2-C,2019-12-13-15:00:00-Prac-3H-DEC2-D,2019-12-16-09:00:00-Lect-2H-ng,2019-12-16-15:00:00-Prac-2H-DEC3-A,2019-12-17-16:00:00-Prac-2H-DEC3-B,2019-12-19-15:00:00-Prac-2H-DEC3-C,2019-12-20-15:00:00-Prac-3H-DEC3-D,2019-12-23-09:00:00-Lect-2H-ng,2019-12-23-15:00:00-Prac-2H-DEC4-A,2019-12-24-16:00:00-Prac-2H-DEC4-B,2019-12-26-15:00:00-Prac-2H-DEC4-C,2019-12-30-09:00:00-Lect-2H-ng,2019-12-30-15:00:00-Assi-2H-ng,2020-01-06-09:00:00-Lect-2H-ng,2020-01-06-15:00:00-Prac-2H-JAN2-A,2020-01-07-16:00:00-Prac-2H-JAN2-B,2020-01-09-15:00:00-Prac-2H-JAN2-C,2020-01-10-09:00:00-Prac-2H-JAN2-D,2020-01-13-09:00:00-Lect-2H-ng,2020-01-13-15:00:00-Prac-2H-JAN3-A,2020-01-14-16:00:00-Prac-2H-JAN3-B,2020-01-16-15:00:00-Prac-2H-JAN3-C,2020-01-17-09:00:00-Prac-2H-JAN3-D,2020-01-20-09:00:00-Lect-2H-ng,2020-01-20-15:00:00-Prac-2H-JAN4-A,2020-01-21-16:00:00-Prac-2H-JAN4-B,2020-01-23-15:00:00-Prac-2H-JAN4-C,2020-01-24-09:00:00-Prac-2H-JAN4-D,2020-01-27-09:00:00-Lect-2H-ng,2020-01-27-15:00:00-Assi-2H-ng,2020-02-03-09:00:00-Lect-2H-ng,2020-02-03-15:00:00-Prac-2H-FEB1-A,2020-02-04-16:00:00-Prac-2H-FEB1-B,2020-02-06-15:00:00-Prac-2H-FEB1-C,2020-02-07-09:00:00-Prac-2H-FEB1-D,2020-02-10-09:00:00-Lect-2H-ng,2020-02-10-15:00:00-Prac-2H-FEB2-A,2020-02-11-16:00:00-Prac-2H-FEB2-B,2020-02-13-15:00:00-Prac-2H-FEB2-C,2020-02-14-09:00:00-Prac-2H-FEB2-D,2020-02-17-09:00:00-Lect-2H-ng,2020-02-17-15:00:00-Prac-2H-FEB3-A,2020-02-18-16:00:00-Prac-2H-FEB3-B,2020-02-20-15:00:00-Prac-2H-FEB3-C,2020-02-21-09:00:00-Prac-2H-FEB3-D,%
HS/2018/16800,0, , ,1, ,0, , ,1, ,1, , ,1, ,0, , ,0, ,1, , ,1, ,0, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,83 %,
HS/2018/16801,0, , ,0,1,M, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,0, ,1, , ,1,1,1,1, , ,1, ,0, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,83 %,
HS/2018/16802,0, , ,0, ,1, , ,0, ,1, , ,1, ,0, , ,0, ,1, , ,1, ,1, , ,0, ,1, , ,1,1,1,1, , ,0, ,1, , ,0, ,1, , ,1, ,1,1,1, , ,0, ,0, , ,0, ,0, , ,0, ,57 %,
HS/2018/16803,0, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,0, ,1, , ,0, ,1,1,1, , ,0, ,1, , ,0, ,1, , ,0, ,73 %,
HS/2018/16804,0, , ,1, ,0, , ,1, ,1, , ,1, ,0, , ,1, ,0, , ,1, ,E, , ,0, ,E, , ,1,E,1,1, , ,0, ,E, , ,0, ,1, , ,0, ,E,1,1, , ,0, ,E, , ,1, ,1, , ,0, ,67 %,
HS/2018/16805,0, , ,1, ,0, , ,0, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,0, , ,1,1,1,1, , ,0, ,1, , ,1, ,1, , ,1, ,0,1,0, , ,0, ,0, , ,0, ,1, , ,0, ,57 %,
HS/2018/16806,0, , ,0, ,0, , ,1, ,1, , ,1, ,0, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,0, , ,1, ,1, , ,1, ,80 %,
HS/2018/16807,0, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,0, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,0, ,83 %,
HS/2018/16808,0, , ,0, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,0, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,0, ,1, , ,0, ,1, , ,0, ,73 %,
HS/2018/16809,0, , ,1, ,1, , ,0, ,1, , ,1, ,0, , ,0, ,0, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,0, , ,0, ,1, , ,1, ,1, , ,0, ,73 %,
HS/2018/16810,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,0, ,90 %,
HS/2018/16811,0, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,0, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,0, ,1, , ,1, ,1, , ,0, ,83 %,
HS/2018/16812,0, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,0,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,0,1,1, , ,0, ,1, , ,0, ,1, , ,1, ,77 %,
HS/2018/16814,0, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,0, , ,0, ,0, , ,1,0,1,0, , ,0, ,0, , ,0, ,1, , ,1, ,1,1,1, , ,0, ,1, , ,0, ,0, , ,0, ,47 %,
HS/2018/16815,0, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,0,1,1, , ,0, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,0, ,1, , ,1, ,1, , ,1, ,80 %,
HS/2018/16816,0, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,0, ,1, , ,1, ,87 %,
HS/2018/16817,0, , ,1, ,0, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,0, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,0, ,0, , ,1, ,1, , ,1, ,77 %,
HS/2018/16818,0, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,0, ,0, , ,1, ,1, , ,0, ,1, , ,1,1,1,1, , ,1, ,1, , ,0, ,1, , ,1, ,1,1,0, , ,0, ,1, , ,0, ,1, , ,1, ,70 %,
HS/2018/16819,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,93 %,
HS/2018/16820,0, , ,0, ,0, , ,1, ,1, , ,1, ,0, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,0, ,1,1,0, , ,1, ,1, , ,0, ,1, , ,0, ,67 %,
HS/2018/16821,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,0, ,90 %,
HS/2018/16822,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,0, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,90 %,
HS/2018/16823,0, , ,1, ,0, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,0, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,0, ,1,1,1, , ,0, ,1, , ,0,1,1, , ,1, ,77 %,
HS/2018/16824,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,0, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,90 %,
HS/2018/16825,1, ,1, , ,0, ,1, , ,1, ,1, , ,0, ,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,0,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,83 %,
HS/2018/16826,0, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,0, ,1, , ,0, ,1,1,1, , ,0, ,1, , ,0, ,1, , ,0, ,73 %,
HS/2018/16827,0, , ,0, ,1, , ,1, ,1, , ,0, ,0, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,0, ,1,1,0, , ,0, ,1, , ,0, ,1, , ,1, ,70 %,
HS/2018/16828,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,0, , ,0, ,0, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,90 %,
HS/2018/16829,0, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,0, ,1, , ,1, ,87 %,
HS/2018/16830,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, , ,M, ,1, , ,1, ,1, , ,0, ,0, ,0,1,1, ,1, , ,1, ,1, , ,1, ,0, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,0, , ,77 %,
HS/2018/16831,M, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,0, ,1, , ,1, ,1, , ,0, ,0,1,1, , ,0, ,1, , ,0, ,1, , ,0, ,73 %,
HS/2018/16832,0, ,1, , ,1, ,0, , ,1, ,0, , ,0, ,0, , ,1, ,0, , ,0, ,1, , ,0, ,0, ,1,1,0, ,0, , ,1, ,0, , ,0, ,0, , ,0,1,1, ,1, , ,1, ,0, , ,0, ,0, , ,40 %,
HS/2018/16833,1, ,1, , ,0, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,0, ,0, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,0, , ,83 %,
HS/2018/16834,0, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,0,1,1, ,1, , ,1, ,0, , ,1, ,0, , ,80 %,
HS/2018/16835,M, , ,0, ,M, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,M, , ,1, ,0,1,M, , ,1, ,M, , ,1, ,0, , ,0, ,87 %,
HS/2018/16836,0, , ,0, ,1, , ,0, ,1, , ,0, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1,1,1,1, , ,0, ,1, , ,0, ,1, , ,0, ,1,1,0, , ,0, ,0, , ,0, ,0, , ,0, ,50 %,
HS/2018/16838,0, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,0, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,90 %,
HS/2018/16839,0, , ,0, ,0, , ,0, ,1, , ,0, ,0, , ,0, ,0, , ,1, ,0, , ,1, ,1, , ,1,1,1,1, , ,0, ,1, , ,0, ,1, , ,0, ,0,1,0, , ,0, ,1, , ,0, ,1, , ,0, ,43 %,
HS/2018/16840,0, , ,0, ,0, , ,1, ,1, , ,0, ,1, , ,0, ,0, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,0, ,1, , ,0, ,1, , ,0, ,0,1,0, , ,0, ,0, , ,0, ,0, , ,0, ,47 %,
HS/2018/16841,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,93 %,
HS/2018/16842,0, , ,1, ,0, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,0, ,1, , ,0, ,1,1,1, , ,0, ,1, , ,0,1,1, , ,1, ,77 %,
HS/2018/16843,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,0, ,1, , ,1, ,1, , ,1, ,90 %,
HS/2018/16844,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,90 %,
HS/2018/16845,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,93 %,
HS/2018/16846,0, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,90 %,
HS/2018/16847,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,0, ,1,1,1, , ,1, ,1, , ,0, ,1, , ,1, ,87 %,
HS/2018/16848,M, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,0, , ,M, ,1, , ,1, ,1, , ,1, ,0, ,1,1,M, ,1, , ,0, ,1, , ,1, ,1, , ,0,1,0, ,1, , ,1, ,0, , ,0, ,0, , ,70 %,
HS/2018/16849,M, , ,0,1,M, , ,1, ,1, , ,0, ,M, , ,1, ,M, , ,0, ,1, , ,1, ,1, , ,1,M,1,M, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,93 %,
HS/2018/16850,0, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,0, ,1, , ,0, ,83 %,
HS/2018/16851,0, , ,1, ,0, , ,1, ,1, , ,0, ,1, , ,0, ,0, , ,0, ,1, , ,1, ,0, , ,1,1,1,1, , ,0, ,0, , ,0, ,1, , ,0, ,1,1,0, , ,0, ,0, , ,0, ,0, , ,0, ,43 %,
HS/2018/16852,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,90 %,
HS/2018/16853,0, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,0, ,1, , ,1, ,87 %,
HS/2018/16854,1, , ,0, ,0, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1,1, ,0, ,1, , ,1, ,1,1,1, , ,1, ,0, , ,1, ,1, , ,1, ,83 %,
HS/2018/16855,1, , ,0, ,1, , ,1, ,1, , ,1, ,0, , ,0, ,1, , ,0, ,0, , ,0, ,0, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,0, ,1, , ,0, ,1, , ,1, ,70 %,
HS/2018/16856,M, , ,1, ,M, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,0, , ,1, ,1, , ,1, ,1,1,0, , ,0, ,1, , ,1, ,1, , ,1, ,87 %,
HS/2018/16857,0, , ,0, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,0, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,0, , ,0, ,1, , ,1, ,1, , ,1, ,77 %,
HS/2018/16858,0, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,0, ,0, , ,1, ,1, , ,0, ,0,1,0, , ,1, ,1, , ,1, ,1, , ,1, ,73 %,
HS/2018/16859,1, , ,1, ,0, , ,1, ,1, , ,1, ,0, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,M,1,M, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,90 %,
HS/2018/16860,0, , ,0, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,0, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,0, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,80 %,
HS/2018/16861,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,0, ,1, , ,0, ,1,1,0, , ,0, ,1, , ,1, ,1, , ,1, ,83 %,
HS/2018/16862,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,0, ,1,1,1, , ,1, ,1, , ,0, ,0, , ,1, ,87 %,
HS/2018/16863,0, , ,0, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,0,1,1, , ,0, ,1, , ,1, ,1, , ,0, ,1,1,0, , ,1, ,1, , ,1, ,1, , ,0, ,70 %,
HS/2018/16864,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,97 %,
HS/2018/16865,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,0, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,0, ,1, , ,1, ,1, , ,1, ,87 %,
HS/2018/16866,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,0, ,1, , ,1, ,0, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,87 %,
HS/2018/16867,0, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,0,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,87 %,
HS/2018/16868,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,0, , ,1, ,1, , ,1, ,1, ,1,1,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,0, ,0, , ,1, ,1, , ,80 %,
HS/2018/16869,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,M, ,1, , ,1, ,1, , ,0, ,0, ,0,1,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,87 %,
HS/2018/16870,1, , ,0, ,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,0, ,1, , ,0, ,1, , ,0, ,83 %,
HS/2018/16871,0, , ,0, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,0, ,1, , ,1, ,0,1,0, , ,0, ,1, , ,0, ,1, , ,0, ,63 %,
HS/2018/16872,0, , ,0, ,1, , ,0, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,0, , ,1, ,0,1,1, , ,0, ,1, , ,1, ,1, , ,1, ,73 %,
HS/2018/16873,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,0, ,1, , ,0,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,90 %,
HS/2018/16874,0, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, ,1,1,1, ,0, , ,1, ,1, , ,1, ,0, , ,1,1,1, ,1, , ,0, ,0, , ,1, ,0, , ,73 %,
HS/2018/16875,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,0, , ,1, ,1, , ,93 %,
HS/2018/16876,1, , ,0, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,90 %,
HS/2018/16877,1, ,1, , ,1, ,0,1, ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,0,1,1,1,1, ,1, , ,1, ,1, , ,1, ,0, , ,1,1,M,1,1, , ,1, ,1, , ,1, ,1, , ,100 %,
HS/2018/16878,0, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,0, ,1,1,1, ,0, , ,0, ,1, , ,1, ,0, , ,1,1,1, ,1, , ,1, ,0, , ,1, ,0, , ,70 %,
HS/2018/16879,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,1, ,0, , ,0, ,0,1,1, , ,0, ,1, , ,0, ,1, , ,0, ,80 %,
HS/2018/16880,1, , ,0, ,M, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1,1,1,0, , ,0, ,1, , ,1, ,0, , ,1, ,1,1,M, , ,0, ,1, , ,0, ,1, , ,1, ,73 %,
HS/2018/16881,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,0, , ,1, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,0, , ,1, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,87 %,
HS/2018/16882,1, , ,0, ,0, , ,1, ,1, , ,1, ,0, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1,1,1,1, , ,0, ,1, , ,0, ,0, , ,0, ,0,1,0, , ,0, ,0, , ,1, ,1, , ,0, ,53 %,
HS/2018/16883,0, , ,1, ,0, , ,0, ,1, , ,0, ,1, , ,0, ,0, , ,0, ,1, , ,1, ,1, , ,1,1,1,1, , ,0, ,1, , ,1, ,1, , ,0, ,1,1,M,1, ,0, ,M,1, ,0, ,1, , ,1, ,70 %,
HS/2018/16884,0, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,97 %,
HS/2018/16885,0, ,1, , ,1, ,1, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,1, ,1, , ,90 %,
HS/2018/16886,0, , ,0, ,0, , ,0, ,1, , ,0, ,0, , ,0, ,1, , ,0, ,0, , ,1, ,1, , ,1,0,1,0, , ,0, ,1, , ,0, ,0, , ,1, ,0,1,0, , ,0, ,0, , ,1, ,0, , ,1, ,37 %,
HS/2018/16887,0, , ,1, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,0, ,1, , ,1, ,1, , ,1,1,1,1, , ,1, ,1, , ,0, ,1, , ,1, ,1,1,1, , ,1, ,1, , ,1, ,1, , ,1, ,87 %,
HS/2018/16888,M, , , ,1,0, , , ,1,1, , ,1,0,1, , ,1,0,1, , , ,0,1, , ,1,0,1, , ,1,1,1,0, , , ,0,1, , , ,1,1, , , ,1,1,1,1, , , ,0,1, , , ,1,1, , , ,0,80 %,
HS/2018/16889,0, , ,1, ,0, , ,1, ,1, , ,1, ,1, , ,0, ,1, , ,1, ,1, , ,1, ,0, , ,1,1,1,1, , ,1, ,1, , ,0, ,1, , ,0, ,1,1,0, , ,0, ,1, , ,0, ,1, , ,0, ,67 %,
