Current Attendence Sheet Data of HIS22513  |  All Type


-,2019-08-02-16:00:00-Lect-2H-ng,2019-08-09-12:00:00-Lect-1H-ng,2019-08-09-16:00:00-Lect-2H-ng,2019-08-21-16:00:00-Lect-1H-ng,2019-08-22-16:00:00-Lect-1H-ng,2019-12-18-15:00:00-Lect-2H-ng,2020-01-01-15:00:00-Lect-2H-ng,2020-01-02-12:00:00-Lect-1H-ng,2020-01-08-15:00:00-Lect-2H-ng,2020-01-09-12:00:00-Lect-1H-ng,2020-01-16-12:00:00-Lect-1H-ng,2020-01-22-15:00:00-Lect-2H-ng,2020-01-29-15:00:00-Lect-2H-ng,2020-01-30-12:00:00-Lect-1H-ng,2020-02-05-15:00:00-Lect-2H-ng,2020-02-06-12:00:00-Lect-1H-ng,2020-02-13-12:00:00-Lect-1H-ng,%
HS/2017/16554,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,80 %,
HS/2017/16555,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,88 %,
HS/2017/16557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16558,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16559,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,88 %,
HS/2017/16560,E,1,1,E,E,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16561,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,76 %,
HS/2017/16563,1,1,1,1,0,1,1,1,1,1,1,1,1,1,E,1,1,96 %,
HS/2017/16564,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16568,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,84 %,
HS/2017/16578,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,68 %,
HS/2017/16582,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,28 %,
HS/2017/16586,1,M,M,M,0,0,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16592,M,1,M,1,0,M,M,M,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16593,E,0,E,1,0,E,1,1,1,0,1,1,E,1,1,1,1,88 %,
HS/2017/16594,0,0,M,0,0,1,1,1,1,1,1,1,1,1,1,1,1,80 %,
HS/2017/16596,E,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,52 %,
HS/2017/16599,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,84 %,
HS/2017/16601,E,E,E,1,E,0,E,E,E,E,E,1,1,1,1,1,1,92 %,
HS/2017/16606,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,72 %,
HS/2017/16608,E,E,E,E,E,E,0,0,1,0,0,1,1,1,1,1,1,80 %,
HS/2017/16609,M,M,M,1,M,0,M,M,M,M,M,1,1,1,M,1,M,92 %,
HS/2017/16610,M,M,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,88 %,
Total,78,74,87,92,22,100,107,103,107,99,101,102,101,104,110,101,99,
