Current Attendence Sheet Data of SOC11513  |  All Type


-,2019-02-26-13:00:00-Lect-1H-ng,2019-02-28-10:00:00-Lect-2H-ng,2019-03-05-13:00:00-Lect-1H-ng,2019-03-07-10:00:00-Lect-2H-ng,2019-03-12-13:00:00-Lect-1H-ng,2019-03-14-10:00:00-Lect-2H-ng,2019-03-19-13:00:00-Lect-1H-ng,2019-03-21-10:00:00-Lect-2H-ng,2019-03-26-13:00:00-Lect-1H-ng,2019-03-28-10:00:00-Lect-1H-ng,2019-04-02-13:00:00-Lect-1H-ng,2019-04-04-10:00:00-Lect-2H-ng,2019-05-07-13:00:00-Lect-1H-ng,2019-05-21-13:00:00-Lect-1H-ng,2019-05-23-10:00:00-Lect-2H-ng,2019-05-28-13:00:00-Lect-1H-ng,2019-06-04-13:00:00-Lect-1H-ng,2019-06-06-10:00:00-Lect-2H-ng,2019-06-11-13:00:00-Lect-1H-ng,2019-06-13-10:00:00-Lect-2H-ng,2019-06-18-13:00:00-Lect-1H-ng,2019-06-20-10:00:00-Lect-2H-ng,2019-06-25-13:00:00-Lect-1H-ng,%
HS/2018/16826,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,53 %,
HS/2018/16827,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,50 %,
HS/2018/16830,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,50 %,
HS/2018/16834,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,47 %,
HS/2018/16836,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,47 %,
HS/2018/16838,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,66 %,
HS/2018/16839,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,38 %,
HS/2018/16840,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,63 %,
HS/2018/16841,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,50 %,
HS/2018/16843,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,69 %,
HS/2018/16845,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,72 %,
HS/2018/16846,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,72 %,
HS/2018/16848,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,50 %,
HS/2018/16849,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,56 %,
HS/2018/16853,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,69 %,
HS/2018/16854,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,56 %,
HS/2018/16856,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,50 %,
HS/2018/16857,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,53 %,
HS/2018/16859,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,66 %,
HS/2018/16860,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,53 %,
HS/2018/16861,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,66 %,
HS/2018/16862,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,53 %,
HS/2018/16863,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,41 %,
HS/2018/16864,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,53 %,
HS/2018/16865,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,56 %,
HS/2018/16867,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,53 %,
HS/2018/16868,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,59 %,
HS/2018/16869,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,44 %,
HS/2018/16871,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 %,
HS/2018/16873,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,53 %,
HS/2018/16874,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,66 %,
HS/2018/16875,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,63 %,
HS/2018/16876,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,63 %,
HS/2018/16878,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,44 %,
HS/2018/16879,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13 %,
HS/2018/16880,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,63 %,
HS/2018/16881,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,75 %,
HS/2018/16882,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,59 %,
HS/2018/16883,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16 %,
HS/2018/16884,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,56 %,
HS/2018/16886,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,47 %,
HS/2018/16887,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,44 %,
